country,pop2026,area
India,1476630000,3287590
China,1412910000,9706961
United States,349035000,9372610
Indonesia,287887000,1904569
Pakistan,259300000,881912
Nigeria,242432000,923768
Brazil,213563000,8515767
Bangladesh,177818000,147570
Russia,143394000,17098242
Ethiopia,138902000,1104300
Mexico,132998000,1964375
Japan,122428000,377930
Egypt,120101000,1002450
Philippines,117724000,342353
DR Congo,116452000,2344858
Vietnam,102177000,331212
Iran,93168500,1648195
Turkey,87926100,783562
Germany,83644300,357114
Tanzania,72563800,945087
Thailand,71559600,513120
United Kingdom,69931500,242900
France,66746400,551695
South Africa,65453100,1221037
Italy,58926200,301336
Kenya,58636400,580367
Myanmar,55184800,676578
Colombia,53936200,1141748
Sudan,53282700,1886068
Uganda,52761500,241550
South Korea,51600400,100210
Algeria,48028300,2381741
Iraq,48007400,438317
Spain,47850800,505992
Argentina,46003700,2780400
Afghanistan,45047100,652230
Yemen,42961700,527968
Canada,40467700,9984670
Angola,40215200,1246700
Ukraine,39535800,603500
Morocco,38762400,446550
Poland,37843200,312679
Uzbekistan,37724200,447400
Mozambique,36639900,801590
Malaysia,36385100,330803
Ghana,35697600,238533
Saudi Arabia,35165800,2149690
Peru,34922100,1285216
Madagascar,33522100,587041
Ivory Coast,33494300,322463
Cameroon,30640800,475442
Nepal,29629400,147181
Niger,28814900,1267000
Venezuela,28633700,916445
Australia,27227100,7692024
North Korea,26633700,120538
Syria,26472500,185180
Mali,25932300,1240192
Burkina Faso,24601700,272967
Sri Lanka,23348300,65610
Taiwan,23011300,36193
Malawi,22785500,118484
Zambia,22521900,752612
Chad,21560400,1284000
Kazakhstan,21083600,2724900
Somalia,20305900,637657
Chile,19945800,756102
Senegal,19366500,196722
Guatemala,18968000,108889
Romania,18800600,238391
Netherlands,18448800,41850
Ecuador,18444500,276841
Cambodia,18051200,181035
Zimbabwe,17273600,390757
Guinea,15442000,245857
Benin,15170400,112622
Rwanda,14889700,26338
Burundi,14729200,27834
Bolivia,12749300,1098581
South Sudan,12436000,619745
Tunisia,12415100,163610
Haiti,12037500,27750
Belgium,11774600,30528
Dominican Republic,11609500,48671
Jordan,11589500,89342
United Arab Emirates,11574700,83600
Honduras,11184800,112492
Tajikistan,10978600,143100
Papua New Guinea,10947800,462840
Cuba,10892700,109884
Sweden,10701000,450295
Czechia,10527800,78865
Azerbaijan,10454900,86600
Portugal,10395400,92090
Togo,9930920,56785
Greece,9897120,131990
Israel,9647690,20770
Hungary,9585820,93028
Austria,9107270,83871
Switzerland,9007800,41284
Sierra Leone,8996740,71740
Belarus,8937020,207600
Laos,7974020,236800
Turkmenistan,7736630,488100
Libya,7539850,1759540
Kyrgyzstan,7400460,199951
Hong Kong,7378600,1104
Nicaragua,7097330,130373
Paraguay,7095280,406752
Bulgaria,6667660,110879
Serbia,6641960,88361
Republic of the Congo,6637780,342000
El Salvador,6391250,21041
Denmark,6023520,43094
Singapore,5905750,710
Lebanon,5897470,10452
Liberia,5853950,111369
Central African Republic,5698980,622984
Palestine,5692790,6220
Oman,5671460,309500
Norway,5652990,323802
Finland,5621740,338424
Mauritania,5461320,1030700
Slovakia,5451340,49037
Ireland,5356950,70273
New Zealand,5287480,270467
Costa Rica,5174790,51100
Kuwait,5102770,17818
Panama,4625720,75417
Croatia,3822340,56594
Georgia,3804640,69700
Eritrea,3682670,117600
Mongolia,3556800,1564110
Uruguay,3382540,181034
Puerto Rico,3222690,8870
Qatar,3173560,11586
Namibia,3153250,825615
Bosnia and Herzegovina,3114240,51209
Moldova,2961250,33846
Armenia,2930920,29743
Gambia,2884080,10689
Jamaica,2833400,10991
Lithuania,2797340,65300
Albania,2751020,28748
Gabon,2647400,267668
Botswana,2603390,582000
Lesotho,2389340,30355
Guinea-Bissau,2297810,36125
Slovenia,2114570,20273
Equatorial Guinea,1984470,28051
Latvia,1835940,64559
North Macedonia,1804060,25713
Bahrain,1675570,765
Trinidad and Tobago,1513270,5130
Timor-Leste,1436920,14874
Cyprus,1382330,9251
Estonia,1331060,45227
Eswatini,1269860,17364
Mauritius,1265060,2040
Djibouti,1199460,23200
Fiji,937282,18272
Comoros,899010,1862
Reunion,886298,2511
Solomon Islands,858288,28896
Guyana,840890,214969
Bhutan,802214,38394
Macau,723188,32.9
Luxembourg,687448,2586
Suriname,645256,163820
Montenegro,626233,13812
Western Sahara,610813,266000
Malta,549011,316
Maldives,531517,300
Cape Verde,529630,4033
Brunei,469775,5765
Belize,428644,22966
Bahamas,404628,13943
Iceland,402329,103000
Guadeloupe,372453,1628
Mayotte,347536,374
Vanuatu,342564,12189
Martinique,337711,1128
French Guiana,318872,83534
New Caledonia,297892,18575
French Polynesia,283076,4167
Barbados,282724,430
Sao Tome and Principe,244994,964
Samoa,220528,2842
Curacao,185440,444
Saint Lucia,180488,616
Guam,170185,549
Kiribati,138445,811
Seychelles,134959,452
Grenada,117362,344
Micronesia,114183,702
Aruba,108164,180
Jersey,104106,116
Tonga,103291,747
Saint Vincent and the Grenadines,99245,389
Antigua and Barbuda,94626,442
Isle of Man,84055,572
Andorra,83753,468
United States Virgin Islands,83400,347
Cayman Islands,77196,264
Dominica,65511,751
Guernsey,64609,78
Bermuda,64459,54
Faroe Islands,56526,1393
Greenland,55629,2166086
Turks and Caicos Islands,47148,948
Saint Kitts and Nevis,46992,261
American Samoa,45319,199
Sint Maarten,44447,34
Northern Mariana Islands,42914,464
Gibraltar,40867,6.8
Liechtenstein,40368,160
British Virgin Islands,39936,151
Monaco,38087,2.02
Marshall Islands,35075,181
San Marino,33605,61
Saint Martin,23898,53
Palau,17614,459
Anguilla,14817,91
Cook Islands,12826,240
Nauru,12101,21
Saint Barthelemy,11550,21
Wallis and Futuna,11113,274
Tuvalu,9362,26
Saint Pierre and Miquelon,5513,242
Saint Helena Ascension and Tristan da Cunha,5147,27750
Montserrat,4328,102
Falkland Islands,3465,12173
Tokelau,2691,12
Niue,1822,261
Vatican City,506,0.44
